Epoch,Loss,Train Acc,Val Acc,Test Acc
0,1.9599717855453491,0.5285714285714286,0.39,0.387
1,1.86538565158844,0.6571428571428571,0.414,0.451
2,1.7623010873794556,0.6785714285714286,0.472,0.494
3,1.622651219367981,0.75,0.54,0.544
4,1.5113362073898315,0.8214285714285714,0.614,0.627
5,1.346084713935852,0.85,0.676,0.667
6,1.260414719581604,0.9,0.704,0.707
7,1.096410870552063,0.9571428571428572,0.724,0.73
8,1.013958215713501,0.9785714285714285,0.748,0.754
9,0.9273194670677185,0.9785714285714285,0.758,0.762
10,0.8190230131149292,0.9785714285714285,0.776,0.774
11,0.6978367567062378,0.9785714285714285,0.78,0.781
12,0.6388185620307922,0.9785714285714285,0.768,0.785
13,0.5656948685646057,0.9785714285714285,0.77,0.79
14,0.47841688990592957,0.9785714285714285,0.762,0.788
15,0.42996612191200256,0.9785714285714285,0.768,0.79
16,0.4018058478832245,0.9857142857142858,0.768,0.79
17,0.359946608543396,0.9857142857142858,0.77,0.792
18,0.3772207498550415,0.9857142857142858,0.77,0.789
19,0.29100075364112854,0.9857142857142858,0.766,0.789
20,0.22987087070941925,1.0,0.764,0.785
21,0.22153547406196594,1.0,0.76,0.785
22,0.20590627193450928,1.0,0.756,0.779
23,0.1969769150018692,1.0,0.756,0.778
24,0.19398243725299835,1.0,0.756,0.777
25,0.15057258307933807,1.0,0.756,0.779
26,0.14596869051456451,1.0,0.756,0.779
27,0.12775753438472748,1.0,0.76,0.775
28,0.10042904317378998,1.0,0.758,0.774
29,0.10947235673666,1.0,0.762,0.774
30,0.10476332902908325,1.0,0.76,0.775
31,0.10100071132183075,1.0,0.766,0.776
32,0.09077638387680054,1.0,0.762,0.779
33,0.10689708590507507,1.0,0.766,0.78
34,0.07773880660533905,1.0,0.768,0.781
35,0.11042603850364685,1.0,0.764,0.779
36,0.0751781314611435,1.0,0.764,0.782
37,0.11564648151397705,1.0,0.764,0.782
38,0.06846641004085541,1.0,0.762,0.781
39,0.06138898804783821,1.0,0.76,0.781
40,0.05814618244767189,1.0,0.76,0.781
41,0.0832701101899147,1.0,0.756,0.778
42,0.0663735568523407,1.0,0.756,0.778
43,0.054055407643318176,1.0,0.756,0.779
44,0.06563259661197662,1.0,0.758,0.785
45,0.06332360208034515,1.0,0.764,0.784
46,0.04349774494767189,1.0,0.768,0.789
47,0.06115754693746567,1.0,0.77,0.792
48,0.03325954079627991,1.0,0.774,0.793
49,0.04635840654373169,1.0,0.776,0.791
50,0.03837280720472336,1.0,0.772,0.793
51,0.0752134919166565,1.0,0.772,0.793
52,0.043759413063526154,1.0,0.774,0.796
53,0.05020606890320778,1.0,0.774,0.795
54,0.04954613372683525,1.0,0.774,0.793
55,0.047707539051771164,1.0,0.774,0.795
56,0.03974854573607445,1.0,0.772,0.795
57,0.04694388806819916,1.0,0.774,0.796
58,0.03749784082174301,1.0,0.776,0.791
59,0.042840756475925446,1.0,0.774,0.789
60,0.0516013503074646,1.0,0.772,0.787
61,0.041136663407087326,1.0,0.77,0.787
62,0.05294493958353996,1.0,0.768,0.787
63,0.048902228474617004,1.0,0.764,0.788
64,0.05305159091949463,1.0,0.762,0.788
65,0.04514754191040993,1.0,0.76,0.79
66,0.05682496353983879,1.0,0.76,0.79
67,0.04243195801973343,1.0,0.76,0.792
68,0.0362452007830143,1.0,0.758,0.787
69,0.04004630818963051,1.0,0.758,0.787
70,0.031544268131256104,1.0,0.758,0.786
71,0.0429045632481575,1.0,0.762,0.787
72,0.062325164675712585,1.0,0.764,0.79
73,0.04014810174703598,1.0,0.764,0.791
74,0.04423416033387184,1.0,0.764,0.794
75,0.030988886952400208,1.0,0.764,0.798
76,0.033651337027549744,1.0,0.768,0.801
77,0.03566526621580124,1.0,0.77,0.8
78,0.03113848902285099,1.0,0.772,0.799
79,0.037973713129758835,1.0,0.774,0.8
80,0.05349660664796829,1.0,0.774,0.801
81,0.04027016460895538,1.0,0.778,0.802
82,0.04029136896133423,1.0,0.778,0.802
83,0.046494267880916595,1.0,0.776,0.8
84,0.0458308607339859,1.0,0.776,0.8
85,0.048026327043771744,1.0,0.776,0.799
86,0.04077286273241043,1.0,0.772,0.798
87,0.04983021318912506,1.0,0.774,0.799
88,0.03372683748602867,1.0,0.772,0.799
89,0.029095830395817757,1.0,0.772,0.799
90,0.04055323079228401,1.0,0.772,0.799
91,0.023963898420333862,1.0,0.772,0.797
92,0.05024402588605881,1.0,0.77,0.797
93,0.03528660163283348,1.0,0.768,0.799
94,0.03468781337141991,1.0,0.768,0.797
95,0.04282498359680176,1.0,0.77,0.795
96,0.042483191937208176,1.0,0.768,0.791
97,0.03424334153532982,1.0,0.772,0.795
98,0.03942770138382912,1.0,0.772,0.794
99,0.042425140738487244,1.0,0.772,0.793
